flight_number,departure_airport,arrival_airport,departure_date,arrival_date,departure_time,arrival_time,airline,passenger_count,flight_duration
9880,BFO,BFX,08/10/2022,10/04/2022,7:38 PM,2:0 PM,United,152,3
7153,YFX,FYM,02/07/2022,03/20/2022,3:19 PM,5:48 PM,American,113,13
9678,FYM,BZF,08/09/2022,02/10/2022,10:17 PM,9:40 AM,American,418,18
8241,BZB,BFO,06/03/2022,11/25/2022,5:16 AM,3:19 AM,United,270,24
4092,ESP,BCI,04/11/2022,07/09/2022,12:11 PM,3:33 PM,United,95,7
5798,BZF,ESP,05/30/2022,08/26/2022,11:48 AM,2:47 AM,Delta,58,12
6011,BZB,BFO,11/27/2022,05/31/2022,4:18 AM,5:13 AM,Delta,461,22
7168,YFX,BFO,04/19/2022,07/25/2022,8:6 PM,5:14 AM,United,384,16
6895,PMP,BFO,08/25/2022,07/13/2022,11:2 PM,10:39 PM,American,323,14
2568,BZB,BCI,05/20/2022,08/16/2022,11:59 AM,5:58 PM,Delta,256,6
3100,YCY,FYM,09/25/2022,01/20/2022,11:57 PM,2:55 AM,Delta,424,3
2996,BZB,BCI,04/17/2022,02/28/2022,6:54 PM,1:58 AM,Delta,374,12
9179,BFO,BZB,04/01/2022,04/13/2022,10:51 AM,7:51 PM,American,97,11
9758,FYM,BZB,12/11/2022,01/07/2022,6:37 AM,3:55 AM,Delta,76,2
1765,ESP,BCI,06/10/2022,02/12/2022,7:39 PM,8:19 AM,Delta,227,13
5422,YFX,YFX,11/19/2022,07/23/2022,11:23 PM,4:37 AM,United,281,2
3451,FYM,FYM,11/06/2022,09/01/2022,12:0 AM,12:15 AM,United,185,13
7400,BZF,BZB,05/18/2022,04/08/2022,2:57 AM,11:29 AM,Delta,287,2
3080,BFO,BCI,04/14/2022,01/28/2022,8:49 AM,7:55 PM,Delta,421,5
2690,FYM,BFX,09/01/2022,09/17/2022,8:14 AM,6:5 AM,Delta,15,10
1387,BZF,BCI,11/17/2022,03/21/2022,7:21 AM,2:55 AM,Delta,59,15
1916,BFX,BCI,12/24/2022,11/17/2022,3:39 AM,10:11 PM,Delta,226,4
2168,ESP,YCY,05/05/2022,04/30/2022,7:27 AM,5:14 PM,American,253,21
5101,PMP,ESP,12/03/2022,07/29/2022,7:31 PM,1:16 PM,American,95,1
9306,ESP,YFX,12/16/2022,12/13/2022,5:38 PM,9:58 AM,American,116,15
8327,BFO,BFX,01/27/2022,05/20/2022,7:38 AM,8:16 PM,Delta,398,20
1801,ESP,BCI,05/07/2022,04/02/2022,11:35 AM,12:45 PM,Delta,49,2
3576,FYM,BZB,11/28/2022,04/27/2022,12:42 AM,4:20 AM,American,78,14
2649,BZB,BFO,06/22/2022,01/02/2022,6:53 PM,5:37 AM,United,345,6
9692,BCI,ESP,09/04/2022,08/06/2022,12:17 PM,2:36 PM,American,400,23
2853,FYM,PMP,07/27/2022,11/03/2022,6:10 AM,4:10 PM,American,23,14
1596,BZF,BZF,04/15/2022,04/16/2022,8:47 AM,2:3 AM,United,178,10
3526,BFX,YCY,11/26/2022,11/18/2022,10:31 PM,6:23 AM,Delta,119,8
3343,YFX,FYM,10/14/2022,11/13/2022,12:56 AM,6:17 PM,American,377,3
4022,BCI,BFO,12/03/2022,08/23/2022,9:2 PM,7:32 AM,Delta,2,16
5096,YFX,YCY,06/05/2022,02/27/2022,10:26 AM,11:28 AM,American,112,19
8539,BZF,BZF,09/19/2022,09/17/2022,3:1 PM,7:53 PM,Delta,271,23
6474,YFX,BFX,06/15/2022,07/22/2022,12:28 AM,9:3 AM,Delta,186,7
4300,BZF,BFO,07/16/2022,08/12/2022,5:31 PM,6:9 AM,United,337,2
7382,FYM,YCY,03/12/2022,09/14/2022,4:15 PM,11:7 AM,Delta,448,22
9432,BFO,BCI,04/28/2022,10/06/2022,9:51 PM,5:31 PM,United,392,23
8924,BFO,BZB,09/12/2022,12/21/2022,8:32 PM,8:32 AM,American,263,19
5455,BCI,FYM,02/12/2022,08/04/2022,9:16 AM,11:55 AM,American,203,18
4503,ESP,YFX,10/27/2022,01/10/2022,6:31 PM,10:59 AM,American,218,18
9938,FYM,PMP,08/14/2022,05/20/2022,1:35 AM,4:24 PM,Delta,322,21
4698,FYM,PMP,11/23/2022,10/08/2022,8:56 AM,11:9 PM,Delta,23,23
2391,BCI,BCI,08/05/2022,04/15/2022,2:10 AM,9:34 PM,Delta,268,13
8557,BZB,FYM,03/08/2022,10/23/2022,9:17 PM,1:34 PM,American,189,15
5733,BZB,BZF,05/09/2022,10/06/2022,2:18 PM,10:19 PM,American,399,12
2869,BFX,BFX,05/18/2022,01/03/2022,3:6 PM,9:2 AM,Delta,300,18
1210,YCY,BCI,04/23/2022,12/19/2022,4:43 AM,7:20 PM,Delta,389,8
3865,YFX,BFX,06/16/2022,04/11/2022,6:21 PM,7:58 PM,American,344,18
7574,BFX,YCY,02/24/2022,03/07/2022,11:58 AM,10:38 AM,Delta,219,12
5161,BFX,FYM,10/26/2022,11/12/2022,7:50 PM,12:3 PM,American,15,8
8325,BCI,BFO,08/22/2022,03/12/2022,1:38 AM,4:48 PM,American,491,20
2264,FYM,YCY,06/21/2022,05/14/2022,7:42 AM,4:25 AM,American,146,21
8065,YCY,BCI,11/02/2022,05/26/2022,11:33 AM,5:24 PM,United,268,15
8929,ESP,YCY,11/23/2022,02/15/2022,2:8 AM,12:18 AM,American,488,5
3279,PMP,YFX,08/18/2022,03/17/2022,11:32 PM,7:44 AM,American,288,3
7936,BFX,YFX,07/20/2022,04/09/2022,7:29 PM,2:20 PM,United,202,1
6941,BFX,BFO,12/06/2022,11/02/2022,5:19 PM,3:28 PM,American,413,14
1985,BZB,ESP,12/03/2022,07/08/2022,12:28 PM,6:26 PM,Delta,72,3
6407,FYM,BFX,11/30/2022,07/02/2022,9:25 PM,4:36 PM,Delta,478,16
8691,BZB,BFX,01/08/2022,08/09/2022,4:45 AM,3:34 AM,American,423,21
3534,BZB,ESP,01/10/2022,08/08/2022,9:36 PM,9:29 PM,Delta,43,8
6176,BZF,YCY,04/27/2022,04/09/2022,10:52 PM,11:0 PM,Delta,11,1
4027,BFX,ESP,08/16/2022,07/18/2022,4:40 PM,12:45 AM,American,228,23
2609,BZF,BZB,11/02/2022,12/22/2022,3:44 PM,9:31 PM,American,138,4
9981,FYM,PMP,06/21/2022,08/11/2022,9:32 AM,9:2 PM,American,115,6
6144,BFO,YFX,10/06/2022,12/11/2022,7:24 PM,10:17 PM,American,294,5
8266,YCY,YFX,08/29/2022,04/11/2022,4:24 PM,9:32 AM,Delta,453,23
8174,BFX,YCY,04/21/2022,01/25/2022,7:29 PM,1:0 PM,Delta,173,11
1667,BFO,BCI,04/04/2022,03/22/2022,3:41 PM,12:29 PM,American,235,17
5272,FYM,BZB,03/28/2022,09/25/2022,12:8 PM,3:23 PM,American,124,24
7252,ESP,FYM,08/23/2022,01/02/2022,3:29 AM,8:54 AM,United,391,7
7337,BCI,BFX,12/28/2022,01/10/2022,3:48 AM,4:43 AM,American,132,1
3166,BFO,BFO,09/13/2022,07/15/2022,4:25 AM,4:7 AM,United,11,16
6999,ESP,BFX,09/07/2022,08/19/2022,10:20 PM,6:23 PM,Delta,246,4
7345,BZB,BFO,05/06/2022,12/28/2022,5:53 AM,5:59 PM,American,151,9
1126,FYM,YCY,12/14/2022,06/21/2022,6:49 AM,7:12 AM,American,255,8
3712,YFX,ESP,11/23/2022,11/05/2022,3:53 PM,11:22 AM,American,413,6
6214,PMP,YFX,06/14/2022,07/15/2022,6:28 AM,4:15 AM,American,114,2
5010,BCI,YFX,11/20/2022,03/11/2022,11:33 AM,5:59 AM,American,222,6
3400,BCI,BZB,02/07/2022,04/06/2022,9:59 AM,8:25 PM,American,304,13
7543,FYM,BFO,12/22/2022,09/21/2022,11:43 AM,5:52 PM,United,352,3
4807,BZF,FYM,11/07/2022,12/02/2022,10:7 PM,4:53 PM,Delta,131,5
9975,BZB,BZF,04/09/2022,07/17/2022,11:54 AM,5:14 AM,United,367,3
4554,ESP,YFX,04/13/2022,02/22/2022,1:3 PM,8:47 PM,American,435,17
3244,ESP,BCI,11/30/2022,05/11/2022,3:21 AM,11:47 PM,United,475,4
5501,BZB,FYM,02/24/2022,11/25/2022,10:49 PM,2:45 AM,Delta,272,16
8295,BFO,PMP,09/20/2022,06/24/2022,5:31 PM,12:51 PM,American,132,12
8590,BCI,ESP,08/27/2022,06/16/2022,2:32 PM,12:15 AM,Delta,351,15
7694,FYM,BFO,11/21/2022,06/08/2022,11:29 AM,5:55 AM,American,329,8
2732,BFX,PMP,05/01/2022,12/16/2022,12:43 AM,8:20 PM,American,196,13
1623,BZF,YFX,05/22/2022,06/06/2022,4:7 AM,4:50 PM,United,396,5
4637,BFO,BZB,06/10/2022,01/22/2022,2:59 AM,5:48 AM,American,170,15
2428,FYM,FYM,07/08/2022,11/26/2022,6:4 PM,10:25 AM,United,24,24
6332,BFX,ESP,03/26/2022,06/21/2022,7:33 AM,2:57 PM,United,457,2
5027,BFO,BFO,06/07/2022,03/17/2022,10:47 AM,6:25 AM,Delta,46,9
7497,YFX,ESP,05/21/2022,05/01/2022,3:7 PM,5:5 AM,Delta,429,19
4759,BZF,BZF,04/20/2022,02/13/2022,4:32 PM,6:1 AM,Delta,360,10
2584,BZF,BFO,01/14/2022,01/09/2022,2:20 AM,9:36 PM,Delta,218,8
6222,PMP,FYM,12/19/2022,05/19/2022,12:21 AM,11:37 AM,United,401,16
1805,BZB,BFX,08/20/2022,01/25/2022,3:53 AM,4:47 PM,American,363,7
5708,BZF,BZF,04/09/2022,04/27/2022,5:36 AM,2:6 PM,United,373,7
2900,YFX,YFX,02/16/2022,02/12/2022,5:14 PM,9:20 AM,American,52,12
2927,BZF,BCI,08/18/2022,12/13/2022,11:4 AM,11:1 PM,Delta,22,5
9858,BCI,ESP,07/20/2022,04/06/2022,7:57 AM,10:32 AM,Delta,443,1
2261,BZB,BFX,12/13/2022,04/26/2022,6:12 PM,5:56 AM,Delta,211,5
1495,PMP,BFX,09/29/2022,01/17/2022,9:8 PM,1:24 AM,American,382,5
7470,BZB,PMP,11/26/2022,11/04/2022,4:12 PM,2:58 AM,Delta,236,3
7034,ESP,FYM,03/31/2022,12/25/2022,1:51 PM,6:38 AM,Delta,498,4
7739,BZB,BFX,12/12/2022,07/13/2022,5:40 PM,3:20 PM,American,87,5
5074,ESP,BFX,01/23/2022,01/19/2022,3:59 PM,7:16 PM,Delta,425,9
8783,YCY,PMP,04/26/2022,11/15/2022,7:6 PM,4:3 PM,American,387,17
7656,YFX,BCI,09/07/2022,08/29/2022,9:32 AM,2:18 AM,Delta,471,20
1399,FYM,BZB,05/26/2022,11/05/2022,7:45 PM,1:34 AM,American,445,23
4708,BZB,BZF,01/27/2022,01/17/2022,7:18 PM,4:16 AM,American,108,14
5653,BZB,BFX,06/02/2022,02/01/2022,2:38 PM,3:55 AM,United,90,16
3686,BZF,ESP,11/30/2022,04/10/2022,5:52 PM,12:31 PM,United,278,9
2972,ESP,BZF,09/13/2022,01/31/2022,7:12 AM,9:1 PM,Delta,46,24
9531,BZB,ESP,11/10/2022,12/22/2022,5:22 AM,12:54 PM,American,209,4
7622,YFX,BZB,01/02/2022,09/04/2022,9:58 AM,1:49 AM,Delta,118,13
7744,ESP,YCY,09/03/2022,07/01/2022,5:50 AM,4:49 PM,United,235,12
3369,BZF,BFO,04/18/2022,06/06/2022,1:8 PM,11:20 AM,United,121,14
8436,PMP,YCY,09/25/2022,12/03/2022,6:23 AM,5:40 PM,American,363,9
9796,YFX,BFO,12/13/2022,11/09/2022,9:57 PM,7:0 AM,United,481,14
8696,ESP,BCI,03/19/2022,11/29/2022,1:34 AM,2:28 PM,American,327,7
3276,BZF,BZF,02/17/2022,12/28/2022,1:14 AM,11:30 AM,Delta,261,3
1277,BFX,BZF,09/02/2022,12/18/2022,9:41 PM,1:22 PM,American,202,3
7252,BZB,PMP,04/17/2022,03/16/2022,4:18 PM,7:6 PM,Delta,89,2
5452,PMP,BFX,04/14/2022,01/18/2022,12:22 AM,8:42 AM,Delta,274,13
2277,YCY,BFX,11/30/2022,09/21/2022,3:0 PM,9:8 PM,Delta,9,3
8869,YCY,YFX,11/14/2022,12/01/2022,9:41 PM,2:24 PM,United,475,19
4546,BFX,BFX,04/25/2022,11/22/2022,5:10 PM,9:23 PM,American,194,15
3308,BZB,PMP,04/28/2022,12/16/2022,4:14 PM,7:44 PM,United,287,13
7560,YFX,BFX,12/13/2022,03/01/2022,1:15 PM,6:6 AM,Delta,296,4
6131,YCY,BCI,12/23/2022,06/07/2022,10:23 AM,12:2 PM,United,303,2
4634,BFX,BZF,10/01/2022,03/29/2022,2:37 AM,7:34 AM,United,474,1
4455,PMP,YFX,10/23/2022,09/05/2022,5:38 AM,7:6 PM,Delta,183,12
4424,BCI,ESP,02/17/2022,08/06/2022,5:46 PM,5:56 PM,Delta,438,9
4880,YCY,FYM,09/18/2022,10/19/2022,4:6 AM,7:58 AM,United,263,13
5801,BZB,PMP,09/10/2022,03/19/2022,12:51 PM,12:9 AM,Delta,213,20
1429,BFO,FYM,05/10/2022,04/21/2022,11:32 PM,3:13 PM,Delta,303,12
1006,BFO,YFX,12/25/2022,10/18/2022,3:15 AM,3:46 PM,American,170,16
7772,BZF,YFX,06/10/2022,01/04/2022,4:59 AM,2:32 AM,American,28,13
5376,YFX,YFX,02/09/2022,01/30/2022,7:25 AM,6:40 AM,American,5,16
3814,BFX,BCI,12/07/2022,08/23/2022,3:26 PM,10:2 PM,United,72,3
9906,FYM,BFX,12/04/2022,07/16/2022,2:54 PM,11:3 PM,United,400,16
7801,FYM,FYM,12/07/2022,10/11/2022,3:10 AM,4:27 PM,United,432,7
5285,YFX,BZF,09/04/2022,08/16/2022,10:41 AM,11:20 PM,United,444,15
9680,PMP,BZF,09/17/2022,06/23/2022,7:15 AM,4:4 PM,American,85,14
3288,YCY,FYM,04/23/2022,10/28/2022,2:3 AM,2:9 AM,United,214,22
4602,BFO,ESP,01/19/2022,07/19/2022,1:12 AM,5:28 PM,Delta,29,9
3432,BZB,BZB,08/08/2022,09/28/2022,7:58 AM,2:22 AM,United,225,17
6504,BFX,BZF,11/17/2022,03/29/2022,5:6 AM,9:17 PM,United,162,7
1441,YCY,YCY,03/11/2022,06/01/2022,12:48 PM,11:32 PM,Delta,276,24
5989,PMP,BCI,09/17/2022,07/12/2022,12:9 PM,2:23 AM,United,458,8
3223,YCY,FYM,05/26/2022,12/05/2022,2:7 PM,4:52 PM,United,59,24
4920,BZF,BZF,05/31/2022,10/17/2022,3:6 AM,8:36 AM,American,354,12
2561,BZB,YCY,05/30/2022,09/30/2022,5:2 AM,2:24 AM,American,142,23
4530,BFX,YCY,06/27/2022,02/25/2022,1:29 AM,10:44 AM,Delta,192,24
7124,BZF,FYM,01/27/2022,09/27/2022,11:23 AM,3:16 AM,American,217,19
1173,YCY,BFX,09/08/2022,09/27/2022,7:57 PM,2:28 AM,American,183,4
5610,BZB,PMP,07/08/2022,10/01/2022,10:8 AM,9:43 AM,United,133,11
5098,PMP,BZF,05/04/2022,01/15/2022,1:3 AM,9:30 AM,Delta,139,8
2602,YFX,BZF,12/04/2022,08/23/2022,10:35 AM,12:23 PM,Delta,375,9
4415,PMP,YFX,04/02/2022,01/19/2022,8:5 AM,2:15 AM,American,235,1
6806,FYM,ESP,10/21/2022,05/23/2022,6:19 PM,5:30 PM,United,315,10
9754,PMP,ESP,03/07/2022,01/04/2022,6:49 AM,9:37 AM,American,307,16
6287,FYM,ESP,07/27/2022,11/20/2022,2:26 PM,2:2 AM,Delta,202,14
9303,YCY,BZB,06/05/2022,08/29/2022,1:37 PM,11:36 PM,Delta,147,15
6445,BFX,BFO,02/26/2022,07/29/2022,9:13 PM,7:26 PM,American,208,12
1588,YCY,BCI,11/07/2022,07/10/2022,12:5 AM,5:56 PM,American,344,9
6393,BFX,BCI,01/03/2022,01/02/2022,4:37 AM,9:54 AM,United,391,10
8599,BFX,BZB,09/13/2022,11/12/2022,2:40 AM,9:17 PM,Delta,129,14
4020,ESP,YCY,10/30/2022,06/01/2022,5:14 AM,11:37 PM,United,158,13
6790,BZF,BCI,07/04/2022,07/27/2022,4:22 PM,12:34 AM,American,415,11
1698,BFO,BZF,12/20/2022,07/21/2022,6:34 PM,12:50 AM,United,109,1
7711,BCI,BCI,05/09/2022,02/02/2022,11:27 PM,8:12 AM,Delta,95,18
9893,BCI,BFO,12/07/2022,06/04/2022,5:43 AM,2:24 PM,American,192,19
8748,BCI,BCI,05/20/2022,02/25/2022,6:56 AM,8:49 PM,Delta,279,18
4029,BCI,BFX,02/01/2022,12/28/2022,4:28 AM,7:59 AM,American,445,1
1968,ESP,PMP,06/15/2022,06/09/2022,7:2 PM,9:4 AM,United,33,8
5023,YCY,YFX,06/07/2022,05/12/2022,1:35 AM,7:12 AM,United,106,9
1509,ESP,PMP,04/09/2022,02/04/2022,6:51 AM,6:46 PM,American,106,6
8635,ESP,BFX,10/13/2022,02/07/2022,11:42 PM,12:44 PM,Delta,486,12
1681,BZB,YFX,04/08/2022,03/08/2022,2:13 AM,6:4 AM,Delta,67,6
9153,PMP,BZF,01/15/2022,04/20/2022,1:26 PM,9:54 AM,Delta,104,13
1365,YFX,YCY,04/13/2022,12/03/2022,7:50 AM,8:9 AM,Delta,430,2
9042,YFX,BCI,12/26/2022,08/03/2022,1:11 AM,11:8 AM,United,159,12
5763,BFO,BFO,07/04/2022,11/09/2022,2:59 AM,7:8 AM,United,234,16
7817,PMP,YCY,01/06/2022,10/12/2022,8:29 PM,4:13 AM,Delta,234,23
1692,BCI,BZB,10/15/2022,01/07/2022,7:56 AM,9:6 PM,United,425,3
9250,BZF,BZB,02/04/2022,04/20/2022,2:22 AM,6:14 PM,United,370,24
7724,YFX,PMP,08/08/2022,10/29/2022,12:32 AM,9:5 PM,American,418,19
3481,PMP,ESP,06/16/2022,01/01/2022,3:43 AM,11:29 AM,Delta,303,20
2505,YCY,BCI,11/27/2022,01/09/2022,4:10 PM,4:33 AM,Delta,352,13
2700,PMP,BFO,04/06/2022,10/23/2022,2:54 PM,5:4 PM,American,263,5
9361,YCY,BCI,07/11/2022,09/16/2022,6:54 PM,1:9 AM,American,302,13
4684,YFX,YFX,02/25/2022,12/02/2022,5:37 AM,6:51 PM,United,63,5
2886,BZB,BZB,04/26/2022,07/12/2022,5:33 AM,2:54 AM,United,254,4
3721,BFO,YCY,02/21/2022,12/09/2022,3:19 AM,9:43 PM,Delta,140,8
9138,BCI,BZB,03/19/2022,03/31/2022,3:2 AM,12:39 AM,United,39,10
7691,BFX,BFO,07/29/2022,11/22/2022,6:25 PM,9:41 AM,United,276,14
8463,BFO,BZF,02/17/2022,10/27/2022,3:48 PM,4:6 PM,Delta,312,20
7641,BFO,YFX,02/10/2022,11/28/2022,9:45 PM,10:2 PM,Delta,469,18
1194,BFX,PMP,07/02/2022,08/07/2022,11:13 PM,11:54 PM,American,139,10
1467,BCI,PMP,02/21/2022,06/06/2022,9:42 AM,3:53 AM,Delta,260,21
5992,BZB,FYM,02/22/2022,04/18/2022,10:49 PM,7:55 AM,Delta,429,13
3199,YCY,BZF,04/23/2022,07/16/2022,11:26 PM,10:20 AM,American,161,18
7314,YCY,YCY,09/06/2022,01/22/2022,12:40 AM,3:41 PM,American,20,9
8600,FYM,ESP,03/31/2022,06/29/2022,10:54 PM,10:27 AM,United,457,6
1200,BZF,BZB,05/31/2022,12/21/2022,12:27 PM,11:17 PM,United,344,21
5987,FYM,BCI,04/05/2022,03/18/2022,4:21 PM,5:19 AM,American,63,20
1953,FYM,BZF,01/04/2022,03/11/2022,9:45 AM,4:9 AM,American,259,23
8802,YCY,YCY,01/01/2022,07/17/2022,12:19 AM,10:1 PM,American,271,10
4634,YCY,YCY,12/27/2022,11/26/2022,4:36 PM,2:43 AM,American,88,6
3401,BFO,ESP,08/05/2022,07/14/2022,2:35 PM,6:5 PM,Delta,40,11
1309,BFO,PMP,03/15/2022,11/21/2022,1:44 AM,11:17 AM,Delta,454,22
9483,BZB,BFO,02/22/2022,03/11/2022,7:30 AM,8:35 PM,Delta,302,14
7571,BZF,BZB,05/26/2022,04/22/2022,6:50 AM,5:56 PM,United,15,18
1387,BZF,BZF,12/02/2022,09/27/2022,4:54 AM,11:1 PM,United,215,9
9335,BFX,ESP,03/02/2022,12/13/2022,5:58 PM,5:32 AM,United,476,2
6524,BZF,BZB,09/22/2022,11/15/2022,7:14 AM,12:51 PM,Delta,401,24
4610,ESP,YFX,09/20/2022,01/04/2022,5:31 AM,7:40 PM,American,435,23
1741,BCI,FYM,04/26/2022,09/22/2022,2:16 AM,2:18 PM,American,38,19
3947,YFX,YCY,10/09/2022,07/22/2022,1:18 PM,4:6 PM,United,418,16
2140,YFX,PMP,02/24/2022,04/11/2022,3:11 AM,6:56 PM,Delta,256,12
